year,age,births,women
1977,44,1438,1138605
1977,45,753,1137733
1977,46,362,1161428
1977,47,138,1195973
1977,48,63,1191503
1977,49,29,1226728
1977,50,0,1193739
1977,51,0,1243700
1977,52,0,1256727
1977,53,0,1257006
1977,54,0,1243749
1977,55,0,1226003
1978,12,271,1814025
1978,13,1697,1916532
1978,14,8804,2009176
1978,15,28863,2061209
1978,16,64923,2093480
1978,17,108875,2126892
1978,18,151555,2090251
1978,19,189191,2181613
1978,20,209805,2168453
1978,21,226081,2110655
1978,22,231567,2052395
1978,23,236147,2019426
1978,24,235924,2011189
1978,25,232021,1963252
1978,26,222526,1892600
1978,27,206597,1871913
1978,28,186545,1764874
1978,29,167494,1864529
1978,30,146823,1875173
1978,31,126424,1880227
1978,32,83225,1486865
1978,33,64947,1455840
1978,34,52899,1510185
1978,35,43214,1535686
1978,36,31098,1366133
1978,37,22419,1291439
1978,38,17267,1213781
1978,39,12198,1227904
1978,40,8865,1227539
1978,41,5906,1159243
1978,42,4166,1150040
1978,43,2441,1131720
1978,44,1249,1117462
1978,45,705,1134054
1978,46,337,1131984
1978,47,134,1164180
1978,48,51,1185468
1978,49,25,1229250
1978,50,0,1180719
1978,51,0,1225975
1978,52,0,1239456
1978,53,0,1257718
1978,54,0,1247506
1978,55,0,1231254
1979,12,261,1766254
1979,13,1796,1828693
1979,14,8642,1938090
1979,15,28377,2022484
1979,16,63946,2069109
1979,17,107814,2096522
1979,18,153289,2115003
1979,19,196046,2182740
1979,20,216160,2177565
1979,21,232559,2133904
1979,22,243691,2111247
1979,23,248577,2064730
1979,24,247676,2053639
1979,25,243694,2020835
1979,26,233832,1954385
1979,27,218033,1922045
1979,28,198482,1815758
1979,29,175205,1887245
1979,30,152747,1873263
1979,31,127824,1829139
1979,32,109997,1900259
1979,33,70809,1480118
1979,34,55622,1500072
1979,35,44047,1486230
1979,36,34983,1514810
1979,37,24804,1374720
1979,38,18094,1270301
1979,39,13168,1257209
1979,40,9025,1248888
1979,41,6068,1191591
1979,42,4027,1163350
1979,43,2474,1140498
1979,44,1424,1145939
1979,45,670,1112678
1979,46,289,1130828
1979,47,144,1137388
1979,48,73,1149728
1979,49,29,1227518
1979,50,0,1182114
1979,51,0,1211940
1979,52,0,1222066
1979,53,0,1242392
1979,54,0,1251473
1979,55,0,1235468
1980,12,284,1731923
1980,13,1614,1781600
1980,14,8271,1845067
1980,15,28178,1953963
1980,16,63198,2028243
1980,17,106846,2066709
1980,18,153333,2085657
1980,19,200606,2219687
1980,20,224542,2178616
1980,21,240010,2145880
1980,22,249401,2130883
1980,23,258140,2124701
1980,24,254107,2095201
1980,25,251736,2067525
1980,26,241259,2013272
1980,27,224977,1984006
1980,28,206488,1857885
1980,29,183831,1949314
1980,30,157174,1886762
1980,31,131581,1833974
1980,32,110313,1847236
1980,33,91680,1888679
1980,34,59606,1521974
1980,35,45418,1478316
1980,36,35426,1467059
1980,37,27314,1525273
1980,38,19171,1347442
1980,39,13464,1321290
1980,40,9264,1274181
1980,41,5984,1207533
1980,42,4148,1196274
1980,43,2354,1161335
1980,44,1340,1154400
1980,45,672,1135934
1980,46,300,1118830
1980,47,140,1140222
1980,48,66,1104136
1980,49,22,1194475
1980,50,0,1197687
1980,51,0,1190046
1980,52,0,1208807
1980,53,0,1226519
1980,54,0,1245895
1980,55,0,1235722
1981,12,242,1766383
1981,13,1546,1746054
1981,14,7844,1792615
1981,15,25961,1862164
1981,16,59603,1956245
1981,17,101833,2024534
1981,18,147006,2058910
1981,19,192989,2192097
1981,20,220466,2211251
1981,21,236708,2144476
1981,22,244414,2135982
1981,23,253234,2142163
1981,24,257178,2153037
1981,25,252602,2110874
1981,26,244234,2059152
1981,27,229640,2039422
1981,28,211699,1910168
1981,29,190013,1996220
1981,30,164057,1942164
1981,31,135953,1849536
1981,32,112732,1848321
1981,33,91973,1832141
1981,34,76739,1939001
1981,35,48554,1504799
1981,36,35801,1461385
1981,37,26919,1476585
1981,38,20801,1486758
1981,39,13981,1408527
1981,40,9517,1329741
1981,41,6239,1228908
1981,42,3922,1212572
1981,43,2409,1203783
1981,44,1239,1172598
1981,45,658,1136773
1981,46,284,1152403
1981,47,143,1130530
1981,48,62,1081011
1981,49,43,1151816
1981,50,0,1192643
1981,51,0,1170244
1981,52,0,1188001
1981,53,0,1213891
1981,54,0,1241144
1981,55,0,1221081
1982,12,265,1795425
1982,13,1579,1779334
1982,14,7929,1754057
1982,15,25091,1809080
1982,16,57348,1862913
1982,17,98723,1955912
1982,18,144937,2018153
1982,19,187659,2165156
1982,20,215557,2180481
1982,21,236238,2174151
1982,22,245568,2128782
1982,23,252194,2144187
1982,24,256422,2171223
1982,25,257360,2166659
1982,26,247664,2101555
1982,27,234254,2081854
1982,28,216894,1957916
1982,29,195762,2054373
1982,30,170247,1984156
1982,31,142882,1902660
1982,32,118274,1860585
1982,33,95462,1831880
1982,34,78408,1880145
1982,35,63838,1919602
1982,36,39129,1487078
1982,37,28078,1470305
1982,38,21278,1432253
1982,39,15597,1562699
1982,40,10287,1409755
1982,41,6475,1282995
1982,42,4280,1233391
1982,43,2333,1222336
1982,44,1289,1215225
1982,45,686,1151606
1982,46,307,1153210
1982,47,158,1164728
1982,48,63,1061965
1982,49,22,1132900
1982,50,0,1159680
1982,51,0,1150211
1982,52,0,1168276
1982,53,0,1193313
1982,54,0,1232416
1982,55,0,1211217
1983,12,263,1810884
1983,13,1672,1808062
1983,14,7817,1786499
1983,15,24686,1769256
1983,16,55000,1809805
1983,17,92987,1866990
1983,18,136921,1949852
1983,19,179692,2125839
1983,20,204751,2153384
1983,21,224327,2143919
1983,22,237422,2153651
1983,23,245666,2133982
1983,24,248108,2175488
1983,25,251136,2181032
1983,26,247876,2157551
1983,27,234104,2122524
1983,28,217264,1995155
1983,29,197340,2110172
1983,30,176072,2037910
1983,31,147430,1942585
1983,32,122685,1912407
1983,33,98551,1845215
1983,34,79778,1880028
1983,35,63476,1861755
1983,36,50030,1894713
1983,37,29985,1496428
1983,38,21432,1420967
1983,39,15430,1514720
1983,40,11156,1558642
1983,41,6746,1362956
1983,42,4330,1286706
1983,43,2399,1240864
1983,44,1251,1236472
1983,45,609,1193859
1983,46,345,1162372
1983,47,108,1165514
1983,48,67,1095198
1983,49,21,1118385
1983,50,0,1136339
1983,51,0,1118287
1983,52,0,1147675
1983,53,0,1173805
1983,54,0,1211200
1983,55,0,1202194
1984,12,318,1690143
1984,13,1745,1823892
1984,14,7902,1814988
1984,15,24142,1801511
1984,16,53178,1770330
1984,17,89424,1818504
1984,18,130159,1861476
1984,19,172779,2057370
1984,20,200120,2113485
1984,21,217849,2117187
1984,22,231838,2119282
1984,23,243460,2155663
1984,24,248311,2167378
1984,25,249592,2181689
1984,26,248002,2172929
1984,27,239861,2177290
1984,28,223062,2031144
1984,29,205194,2155930
1984,30,183014,2089676
1984,31,155153,1994474
1984,32,129971,1951435
1984,33,105919,1898521
1984,34,84439,1894259
1984,35,65907,1862755
1984,36,51467,1836090
1984,37,38864,1907375
1984,38,23389,1441265
1984,39,16128,1512294
1984,40,11099,1506029
1984,41,7259,1510178
1984,42,4492,1366093
1984,43,2605,1292096
1984,44,1391,1257764
1984,45,592,1215322
1984,46,298,1199190
1984,47,123,1174863
1984,48,66,1097205
1984,49,29,1159568
1984,50,0,1117682
1984,51,0,1095899
1984,52,0,1115301
1984,53,0,1153500
1984,54,0,1191106
1984,55,0,1180968
1985,12,260,1608541
1985,13,1688,1702920
1985,14,8272,1830979
1985,15,25002,1830076
1985,16,53474,1803140
1985,17,89313,1783526
1985,18,129563,1813506
1985,19,170133,1967073
1985,20,197758,2044423
1985,21,218654,2078039
1985,22,230700,2088869
1985,23,242976,2119014
1985,24,251232,2192088
1985,25,255460,2170310
1985,26,251572,2175433
1985,27,246578,2191728
1985,28,233834,2081004
1985,29,213906,2200837
1985,30,191373,2131324
1985,31,162335,2044608
1985,32,138433,2002875
1985,33,113049,1939506
1985,34,91164,1949686
1985,35,71533,1878171
1985,36,54200,1835747
1985,37,40241,1849735
1985,38,30850,1830575
1985,39,17512,1543687
1985,40,11621,1499596
1985,41,7453,1462351
1985,42,5098,1512773
1985,43,2725,1369155
1985,44,1437,1312234
1985,45,661,1237127
1985,46,291,1214798
1985,47,121,1212175
1985,48,60,1107534
1985,49,29,1167793
1985,50,0,1154234
1985,51,0,1078130
1985,52,0,1092247
1985,53,0,1121425
1985,54,0,1170256
1985,55,0,1160873
1986,12,277,1561297
1986,13,1722,1621223
1986,14,8177,1709870
1986,15,25951,1846213
1986,16,54220,1832031
1986,17,88401,1820986
1986,18,127794,1778740
1986,19,165539,1918918
1986,20,188695,1954316
1986,21,209120,2010856
1986,22,224523,2046366
1986,23,235702,2086728
1986,24,244079,2157553
1986,25,252149,2191652
1986,26,250251,2165717
1986,27,244053,2192918
1986,28,233947,2092049
1986,29,219119,2260166
1986,30,195484,2171739
1986,31,168266,2084713
1986,32,143577,2052499
1986,33,118158,1992594
1986,34,95910,1992614
1986,35,76481,1934477
1986,36,57256,1849330
1986,37,42383,1850819
1986,38,31443,1768709
1986,39,22772,1973814
1986,40,12838,1525959
1986,41,7650,1459042
1986,42,4980,1463985
1986,43,2918,1513228
1986,44,1461,1393331
1986,45,738,1291480
1986,46,294,1230284
1986,47,141,1228003
1986,48,51,1143992
1986,49,27,1184436
1986,50,0,1157779
1986,51,0,1113196
1986,52,0,1073805
1986,53,0,1098638
1986,54,0,1137376
1986,55,0,1139977
1987,12,268,1579913
1987,13,1819,1574080
1987,14,8224,1628303
1987,15,25382,1724508
1987,16,56365,1848602
1987,17,90844,1854873
1987,18,127327,1816227
1987,19,162394,1885226
1987,20,183294,1907069
1987,21,201066,1923407
1987,22,218076,1976784
1987,23,233056,2042300
1987,24,240364,2127295
1987,25,249177,2153918
1987,26,254312,2188175
1987,27,248916,2181390
1987,28,238804,2090245
1987,29,224871,2278157
1987,30,204990,2226490
1987,31,175834,2123345
1987,32,151277,2092056
1987,33,125771,2043998
1987,34,102823,2048286
1987,35,82204,1978118
1987,36,62953,1903150
1987,37,45930,1865627
1987,38,33378,1763360
1987,39,23519,1920728
1987,40,16514,1943249
1987,41,8614,1487888
1987,42,4996,1460017
1987,43,2973,1462234
1987,44,1684,1543343
1987,45,784,1371818
1987,46,341,1277873
1987,47,155,1243605
1987,48,57,1160234
1987,49,38,1229555
1987,50,0,1169886
1987,51,0,1116581
1987,52,0,1108282
1987,53,0,1080620
1987,54,0,1113965
1987,55,0,1107286
1988,12,274,1577548
1988,13,1804,1593257
1988,14,8510,1581194
1988,15,25605,1642732
1988,16,55150,1727527
1988,17,95869,1877038
1988,18,133370,1850106
1988,19,168359,1928469
1988,20,185209,1874403
1988,21,199177,1877921
1988,22,212734,1887508
1988,23,228642,1971104
1988,24,241710,2084625
1988,25,251177,2120682
1988,26,255301,2151873
1988,27,255940,2202315
1988,28,245126,2076355
1988,29,231712,2283504
1988,30,212592,2240066
1988,31,185753,2175967
1988,32,160227,2130066
1988,33,134120,2085702
1988,34,110855,2102470
1988,35,88529,2034373
1988,36,68031,1944715
1988,37,50833,1921010
1988,38,36498,1771879
1988,39,25627,1929036
1988,40,17470,1883636
1988,41,11290,1899042
1988,42,5836,1488293
1988,43,3114,1456583
1988,44,1639,1494408
1988,45,772,1519998
1988,46,388,1350814
1988,47,137,1291570
1988,48,88,1176800
1988,49,42,1253529
1988,50,0,1209734
1988,51,0,1128547
1988,52,0,1111234
1988,53,0,1115981
1988,54,0,1095564
1988,55,0,1083923
1989,12,466,1631214
1989,13,1969,1592280
1989,14,9051,1601186
1989,15,26730,1596227
1989,16,57279,1647349
1989,17,97035,1759410
1989,18,144350,1873311
1989,19,181109,1966043
1989,20,195425,1922460
1989,21,204327,1844394
1989,22,214330,1838953
1989,23,223550,1880391
1989,24,239966,2014809
1989,25,253809,2077083
1989,26,259259,2121091
1989,27,258239,2165843
1989,28,252093,2097557
1989,29,239698,2269516
1989,30,218670,2248459
1989,31,194911,2187974
1989,32,169115,2183097
1989,33,141350,2126725
1989,34,118349,2145646
1989,35,95866,2092061
1989,36,74255,1999078
1989,37,55779,1964083
1989,38,40057,1823173
1989,39,27921,1942718
1989,40,19043,1892586
1989,41,12254,1842552
1989,42,7692,1899185
1989,43,3587,1483008
1989,44,1825,1489755
1989,45,873,1474989
1989,46,388,1489863
1989,47,186,1364749
1989,48,104,1220961
1989,49,48,1276167
1989,50,0,1229412
1989,51,0,1167223
1989,52,0,1122213
1989,53,0,1118238
1989,54,0,1131430
1989,55,0,1071628
1990,12,386,1654039
1990,13,1993,1650407
1990,14,9278,1603276
1990,15,27703,1619476
1990,16,57901,1604352
1990,17,97723,1682100
1990,18,144969,1757022
1990,19,193530,1989705
1990,20,207307,1964006
1990,21,212669,1888030
1990,22,216482,1804150
1990,23,224151,1832940
1990,24,233121,1926974
1990,25,250462,2011875
1990,26,261244,2083331
1990,27,262303,2140752
1990,28,254990,2072655
1990,29,248109,2292532
1990,30,227300,2246012
1990,31,203857,2199837
1990,32,177925,2200745
1990,33,151286,2185395
1990,34,125695,2188891
1990,35,102458,2142121
1990,36,80640,2057413
1990,37,60125,2021070
1990,38,43466,1868037
1990,39,30894,1996070
1990,40,20907,1910847
1990,41,13214,1851236
1990,42,7829,1842472
1990,43,4674,1890544
1990,44,1983,1518003
1990,45,888,1473911
1990,46,416,1441412
1990,47,178,1505943
1990,48,83,1292273
1990,49,73,1325913
1990,50,0,1250481
1990,51,0,1187196
1990,52,0,1161836
1990,53,0,1129212
1990,54,0,1134994
1990,55,0,1114099
1991,12,412,1721795
1991,13,2044,1677408
1991,14,9558,1665953
1991,15,28810,1625228
1991,16,60511,1631409
1991,17,98905,1639787
1991,18,144029,1680005
1991,19,187322,1864692
1991,20,214666,1982439
1991,21,219215,1927763
1991,22,217917,1848964
1991,23,216051,1802687
1991,24,221843,1883948
1991,25,233118,1931832
1991,26,245076,2024730
1991,27,252337,2112068
1991,28,248516,2061410
1991,29,240918,2270111
1991,30,226320,2276906
1991,31,202949,2206440
1991,32,176424,2221903
1991,33,151175,2208327
1991,34,127994,2252196
1991,35,105153,2191202
1991,36,83213,2110527
1991,37,63176,2081848
1991,38,46402,1927605
1991,39,33049,2046294
1991,40,22233,1961395
1991,41,14123,1869868
1991,42,8464,1851214
1991,43,4739,1833552
1991,44,2536,1937698
1991,45,986,1501813
1991,46,419,1439991
1991,47,151,1459727
1991,48,93,1438960
1991,49,60,1401147
1991,50,0,1301476
1991,51,0,1209358
1991,52,0,1185927
1991,53,0,1171794
1991,54,0,1148312
1991,55,0,1115391
1992,12,318,1788612
1992,13,2126,1747046
1992,14,9776,1695567
1992,15,29267,1690579
1992,16,60136,1638760
1992,17,98146,1666188
1992,18,138663,1641284
1992,19,179203,1781185
1992,20,201561,1856392
1992,21,220444,1949000
1992,22,219262,1892203
1992,23,213908,1852235
1992,24,215315,1855106
1992,25,222743,1896331
1992,26,229824,1946267
1992,27,242324,2059063
1992,28,245213,2043868
1992,29,239160,2250123
1992,30,224458,2262706
1992,31,205129,2239798
1992,32,179269,2233865
1992,33,154088,2229863
1992,34,132327,2275664
1992,35,108942,2259860
1992,36,86049,2161162
1992,37,65932,2134025
1992,38,48526,1993341
1992,39,35195,2103661
1992,40,23825,2013525
1992,41,15367,1918299
1992,42,8989,1872227
1992,43,4927,1843225
1992,44,2594,1877124
1992,45,1253,1920371
1992,46,409,1468393
1992,47,183,1459913
1992,48,111,1405342
1992,49,52,1552549
1992,50,0,1381022
1992,51,0,1259850
1992,52,0,1211318
1992,53,0,1196761
1992,54,0,1192920
1992,55,0,1125902
1993,12,277,1831240
1993,13,2238,1813523
1993,14,10039,1766409
1993,15,30074,1720576
1993,16,61960,1704331
1993,17,98501,1670456
1993,18,138313,1673381
1993,19,172245,1736167
1993,20,191147,1777026
1993,21,204091,1828736
1993,22,218478,1917139
1993,23,212994,1898565
1993,24,211417,1904884
1993,25,213419,1873757
1993,26,220850,1908362
1993,27,225871,1982351
1993,28,233610,2000609
1993,29,235112,2210355
1993,30,223744,2253716
1993,31,203771,2221915
1993,32,182196,2268947
1993,33,157524,2238575
1993,34,133916,2293801
1993,35,111090,2289068
1993,36,90183,2228907
1993,37,68144,2180776
1993,38,50860,2053034
1993,39,36776,2155824
1993,40,25307,2080338
1993,41,15960,1965447
1993,42,9584,1924455
1993,43,5414,1865229
1993,44,2806,1880998
1993,45,1318,1868253
1993,46,617,1877932
1993,47,220,1487547
1993,48,118,1410596
1993,49,56,1506706
1993,50,0,1537571
1993,51,0,1337036
1993,52,0,1263212
1993,53,0,1220026
1993,54,0,1218565
1993,55,0,1171561
1994,12,315,1862583
1994,13,2128,1854261
1994,14,10458,1832699
1994,15,30742,1791002
1994,16,63125,1732866
1994,17,101302,1732353
1994,18,137547,1681791
1994,19,172772,1763993
1994,20,182977,1733087
1994,21,191555,1752546
1994,22,202075,1802042
1994,23,213343,1925583
1994,24,211468,1949702
1994,25,211507,1929135
1994,26,212387,1882137
1994,27,218226,1945629
1994,28,220390,1933031
1994,29,226335,2142719
1994,30,221992,2223508
1994,31,204896,2208116
1994,32,182049,2251043
1994,33,160627,2269383
1994,34,136934,2297680
1994,35,114709,2312135
1994,36,92526,2256898
1994,37,71412,2243604
1994,38,53658,2107364
1994,39,39303,2199786
1994,40,26998,2141803
1994,41,17228,2026098
1994,42,10467,1974916
1994,43,5708,1917432
1994,44,3101,1897077
1994,45,1400,1880120
1994,46,617,1826688
1994,47,276,1900155
1994,48,128,1443089
1994,49,86,1502466
1994,50,0,1498709
1994,51,0,1488419
1994,52,0,1341593
1994,53,0,1269527
1994,54,0,1242190
1994,55,0,1198301
1995,12,279,1876425
1995,13,2044,1883290
1995,14,9919,1872883
1995,15,30734,1856504
1995,16,62174,1801838
1995,17,99600,1756277
1995,18,138535,1748268
1995,19,168830,1766647
1995,20,181258,1761424
1995,21,183249,1710532
1995,22,191268,1730203
1995,23,198348,1812541
1995,24,211424,1975250
1995,25,212080,1979735
1995,26,210916,1934210
1995,27,210436,1920870
1995,28,214563,1904433
1995,29,215544,2050680
1995,30,214551,2165171
1995,31,204219,2173969
1995,32,184297,2237502
1995,33,160907,2247424
1995,34,140692,2324362
1995,35,117643,2320942
1995,36,94777,2278858
1995,37,74025,2266349
1995,38,56493,2177837
1995,39,40807,2236859
1995,40,28320,2195527
1995,41,18425,2081192
1995,42,11002,2039096
1995,43,6275,1967710
1995,44,3228,1943890
1995,45,1518,1903922
1995,46,663,1838092
1995,47,314,1847430
1995,48,164,1850452
1995,49,68,1525582
1995,50,0,1501273
1995,51,0,1450724
1995,52,0,1494632
1995,53,0,1345353
1995,54,0,1292500
1995,55,0,1223114
1996,12,273,1866243
1996,13,1860,1895513
1996,14,9015,1902138
1996,15,28540,1896396
1996,16,60287,1866618
1996,17,96894,1821654
1996,18,135059,1777484
1996,19,170797,1830821
1996,20,179284,1765921
1996,21,185490,1740813
1996,22,188210,1692764
1996,23,191941,1743944
1996,24,200285,1859225
1996,25,216312,2012715
1996,26,217119,1982308
1996,27,214754,1976906
1996,28,211418,1888385
1996,29,211684,2001964
1996,30,206576,2082905
1996,31,199581,2113773
1996,32,185617,2204478
1996,33,163723,2230872
1996,34,142416,2297891
1996,35,121980,2353720
1996,36,98760,2287466
1996,37,76998,2283595
1996,38,58194,2210307
1996,39,43578,2290463
1996,40,30196,2243310
1996,41,19587,2128852
1996,42,11845,2098182
1996,43,6663,2032040
1996,44,3513,1988814
1996,45,1655,1959072
1996,46,816,1861342
1996,47,331,1858591
1996,48,152,1804882
1996,49,91,1942316
1996,50,0,1532063
1996,51,0,1453382
1996,52,0,1458123
1996,53,0,1495797
1996,54,0,1369547
1996,55,0,1274431
1997,12,271,1913870
1997,13,1661,1883817
1997,14,8189,1914890
1997,15,26340,1925618
1997,16,57038,1906039
1997,17,96776,1882739
1997,18,134595,1848971
1997,19,168471,1855897
1997,20,183050,1831959
1997,21,184466,1747861
1997,22,190783,1727025
1997,23,188844,1709855
1997,24,194905,1789491
1997,25,205294,1902353
1997,26,220344,2013487
1997,27,219824,2029093
1997,28,214978,1952032
1997,29,208996,1967169
1997,30,203454,2044509
1997,31,192151,2030979
1997,32,181501,2145563
1997,33,165034,2195447
1997,34,144658,2277617
1997,35,122610,2333203
1997,36,101884,2320209
1997,37,79461,2287725
1997,38,60376,2238029
1997,39,45379,2303801
1997,40,31897,2308421
1997,41,20542,2170779
1997,42,12613,2150071
1997,43,7255,2091600
1997,44,3777,2047673
1997,45,1866,2012843
1997,46,795,1915421
1997,47,395,1881374
1997,48,173,1821883
1997,49,104,1883034
1997,50,66,1959727
1997,51,30,1483365
1997,52,17,1462306
1997,53,19,1456529
1997,54,12,1522702
1997,55,0,1352335
1998,12,230,1941946
1998,13,1621,1929762
1998,14,7611,1903097
1998,15,24777,1937839
1998,16,55033,1934319
1998,17,93421,1917633
1998,18,137567,1915464
1998,19,174097,1923748
1998,20,187859,1857614
1998,21,192904,1814143
1998,22,194649,1736680
1998,23,195154,1746386
1998,24,194556,1752959
1998,25,201517,1837139
1998,26,212527,1900720
1998,27,227095,2063134
1998,28,224038,2010773
1998,29,217833,2013584
1998,30,205278,2018711
1998,31,193152,1990096
1998,32,178236,2062801
1998,33,164665,2133685
1998,34,148034,2237617
1998,35,127062,2318254
1998,36,103855,2299879
1998,37,82887,2315496
1998,38,63626,2252637
1998,39,47460,2311352
1998,40,33459,2333134
1998,41,21958,2229183
1998,42,13600,2196261
1998,43,7900,2144037
1998,44,4110,2101175
1998,45,1957,2081024
1998,46,895,1968159
1998,47,481,1934875
1998,48,201,1850657
1998,49,90,1888945
1998,50,63,1908057
1998,51,45,1897332
1998,52,25,1493899
1998,53,19,1457864
1998,54,6,1483082
1998,55,0,1505468
1999,12,245,1957779
1999,13,1496,1955639
1999,14,7313,1949094
1999,15,22896,1924363
1999,16,51516,1948332
1999,17,89176,1941864
1999,18,133988,1951893
1999,19,178474,1987393
1999,20,190673,1924254
1999,21,195244,1840556
1999,22,200993,1807015
1999,23,195947,1754923
1999,24,199072,1786233
1999,25,200513,1801725
1999,26,206784,1834248
1999,27,216448,1947235
1999,28,229241,2053022
1999,29,225266,2052590
1999,30,212106,2070322
1999,31,194687,1964358
1999,32,178604,2021552
1999,33,160225,2049529
1999,34,146778,2169798
1999,35,128843,2279980
1999,36,107116,2287116
1999,37,84065,2291234
1999,38,65169,2289637
1999,39,49101,2307190
1999,40,34205,2346333
1999,41,22506,2254379
1999,42,14078,2257492
1999,43,7926,2189860
1999,44,4375,2148357
1999,45,2229,2139375
1999,46,1050,2037702
1999,47,520,1985732
1999,48,240,1909500
1999,49,135,1907670
1999,50,75,1915994
1999,51,42,1851341
1999,52,35,1912497
1999,53,10,1483213
1999,54,12,1487374
1999,55,0,1466460
2000,12,242,1993607
2000,13,1427,1970476
2000,14,6850,1973011
2000,15,21845,1967953
2000,16,48581,1939555
2000,17,86783,1956949
2000,18,132786,1971602
2000,19,178995,2011862
2000,20,199510,1991316
2000,21,202208,1917636
2000,22,206182,1843911
2000,23,206781,1823676
2000,24,203125,1786694
2000,25,208150,1828222
2000,26,207956,1804442
2000,27,214286,1870987
2000,28,222130,1949174
2000,29,235025,2075915
2000,30,225938,2097591
2000,31,206367,2032655
2000,32,184174,1990775
2000,33,165473,2014893
2000,34,147326,2075417
2000,35,131256,2202998
2000,36,111446,2262044
2000,37,88672,2281340
2000,38,68721,2277872
2000,39,51962,2324798
2000,40,37255,2333033
2000,41,24465,2293334
2000,42,14852,2276362
2000,43,8745,2252507
2000,44,4696,2191267
2000,45,2281,2175873
2000,46,1135,2109688
2000,47,527,2049576
2000,48,250,1968915
2000,49,156,1948493
2000,50,100,1923624
2000,51,67,1878695
2000,52,43,1862891
2000,53,30,1895839
2000,54,15,1507175
2000,55,0,1472977
2001,12,241,2052490
2001,13,1289,2006451
2001,14,6251,1983171
2001,15,20150,1989504
2001,16,45367,1985299
2001,17,79807,1952857
2001,18,126361,1981743
2001,19,174259,2008287
2001,20,195252,2024908
2001,21,204902,2002146
2001,22,207623,1929716
2001,23,206676,1860103
2001,24,207174,1845774
2001,25,205439,1814533
2001,26,209813,1839586
2001,27,208786,1827963
2001,28,214030,1880824
2001,29,220197,1958614
2001,30,226618,2100923
2001,31,212750,2088511
2001,32,189746,2051297
2001,33,166128,1995695
2001,34,147455,2029260
2001,35,128644,2092824
2001,36,109843,2203562
2001,37,89806,2264061
2001,38,70457,2281633
2001,39,52973,2292217
2001,40,38061,2335065
2001,41,25188,2319923
2001,42,15642,2301920
2001,43,9083,2276386
2001,44,4839,2251814
2001,45,2490,2198800
2001,46,1232,2166945
2001,47,605,2113862
2001,48,297,2043390
2001,49,220,1981581
2001,50,114,1950574
2001,51,65,1913226
2001,52,28,1881069
2001,53,19,1855485
2001,54,13,1905329
2001,55,0,1499440
2002,12,208,2113429
2002,13,1218,2064479
2002,14,5889,2014953
2002,15,18703,1999438
2002,16,43147,2006279
2002,17,76881,1999545
2002,18,118651,1976697
2002,19,168111,2005912
2002,20,191054,2022933
2002,21,202208,2041948
2002,22,211882,2013356
2002,23,208599,1944604
2002,24,208363,1876400
2002,25,211602,1867647
2002,26,209460,1826954
2002,27,213312,1858160
2002,28,211721,1837449
2002,29,214296,1884236
2002,30,215687,1977425
2002,31,215876,2102517
2002,32,197436,2106096
2002,33,172053,2061044
2002,34,150167,2004588
2002,35,129747,2039937
2002,36,108322,2100763
2002,37,89639,2208616
2002,38,71680,2270148
2002,39,54539,2287098
2002,40,38661,2295300
2002,41,26151,2339643
2002,42,16320,2321381
2002,43,9508,2305083
2002,44,5148,2273252
2002,45,2734,2249864
2002,46,1287,2199637
2002,47,636,2168291
2002,48,357,2112019
2002,49,210,2044155
2002,50,106,1977919
2002,51,68,1952813
2002,52,37,1910027
2002,53,35,1880818
2002,54,17,1855576
2002,55,0,1899261
2003,12,4,2115141
2003,13,401,2123550
2003,14,6256,2069878
2003,15,18238,2032308
2003,16,41344,2015842
2003,17,74802,2017651
2003,18,117750,2024695
2003,19,162446,1999507
2003,20,189327,2015054
2003,21,201521,2037289
2003,22,212090,2048510
2003,23,215348,2025788
2003,24,214019,1959368
2003,25,216448,1898898
2003,26,218718,1876265
2003,27,215313,1846008
2003,28,219312,1864250
2003,29,216575,1837002
2003,30,212876,1908168
2003,31,211093,1975376
2003,32,207446,2125224
2003,33,184268,2115042
2003,34,159863,2069221
2003,35,133779,2015820
2003,36,112791,2047203
2003,37,90599,2104635
2003,38,73213,2214659
2003,39,57260,2275664
2003,40,40950,2289432
2003,41,27307,2300430
2003,42,17243,2340164
2003,43,10058,2324960
2003,44,5447,2299534
2003,45,2836,2270661
2003,46,1441,2251666
2003,47,685,2201946
2003,48,360,2165613
2003,49,200,2113631
2003,50,143,2039057
2003,51,92,1982180
2003,52,33,1948474
2003,53,29,1910933
2003,54,26,1882175
2003,55,0,1848009
2004,12,188,2096609
2004,13,1075,2123514
2004,14,5518,2126030
2004,15,18274,2088791
2004,16,41860,2048827
2004,17,73846,2024746
2004,18,117237,2044431
2004,19,164045,2047458
2004,20,185284,2004266
2004,21,199364,2028197
2004,22,212375,2040788
2004,23,215694,2060080
2004,24,221737,2040300
2004,25,219898,1984162
2004,26,221145,1904435
2004,27,223528,1897226
2004,28,219120,1849182
2004,29,220794,1860540
2004,30,211510,1866287
2004,31,202984,1903211
2004,32,196030,2002428
2004,33,187669,2134118
2004,34,167470,2122948
2004,35,140980,2081799
2004,36,113926,2022812
2004,37,91711,2050301
2004,38,72036,2110949
2004,39,56953,2220588
2004,40,41764,2277655
2004,41,27921,2295594
2004,42,17768,2300371
2004,43,10418,2344444
2004,44,5808,2317241
2004,45,2966,2296598
2004,46,1456,2273694
